Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_eff,tau_star,tau_geom,tau_0,tau_rot,D_r,mobility
0.1,0.08,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,3.771066,0.121944,0.0125,0.964369,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,2.285,0.52,0.62,0.62,0.63,0.23,4.4235,1.923076923076923
0.1,0.08,0.5,,,,,,,,,,,,,5.342933,0.241632,0.0125,0.43131,,4.583122,4.261477,16.692,46.227929,95.522388,64.0,3.0,67.0,2.774,0.28,0.4,0.47,0.62,0.1,9.7924,3.571428571428571
0.1,0.08,0.65,,,,,,,,,,,,,4.802033,0.07416,0.0125,0.860724,,4.897588,5.043534,15.716,48.233861,92.957746,66.0,5.0,71.0,2.453,0.27,0.35,0.4,0.65,0.11,9.1977,3.7037037037037033
0.1,0.1,0.15,,,,,,,,,,,,,4.401209,0.069229,0.0125,0.981302,,1.545833,0.326138,11.113,,,,,,4.075,0.52,0.58,0.58,0.58,0.13,7.8878,1.923076923076923
0.1,0.1,0.2,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,5.050628,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,1.045,0.45,5.9,6.12,0.83,0.43,2.3224,2.2222222222222223
0.1,0.1,0.2,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,5.050628,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,1.368,0.45,12.95,14.02,0.85,0.33,3.0392,2.2222222222222223
0.1,0.1,0.2,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,5.050628,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,1.045,0.45,5.9,6.12,0.83,0.43,2.3224,2.2222222222222223
0.1,0.1,0.2,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,5.050628,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,1.368,0.45,12.95,14.02,0.85,0.33,3.0392,2.2222222222222223
0.1,0.1,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,3.969318,0.149844,0.0125,0.872909,,1.455555,0.598455,17.193,9.458367,20.967742,13.0,49.0,62.0,8.485,1.13,1.13,1.13,0.65,0.13,7.487,0.8849557522123894
0.1,0.1,0.35,,,,,,,,,,,,,5.358844,0.938332,0.0125,0.531133,,4.942424,4.159178,16.135,39.759036,73.333333,55.0,20.0,75.0,1.741,0.33,0.77,11.9,0.67,0.19,5.2228,3.0303030303030303
